preprocessed,label
hi missed call mumhas beendropping red wine theplace adress,0
ur going bahamas callfreefone speak live operator claim either bahamas cruise cash opt txt x,1
youve always brainy one,0
specialisation work slave labor look month sha co shakara beggar,0
jesus christ bitch im trying give drug answer fucking phone,0
jokin oni lar busy wun disturb,0
messageno responcewhat happend,0
gud mrng dear hav nice day,0
r many modelsony ericson also der ltgt luks good bt forgot modl,0
im driving raining ill get caught e mrt station lor,0
mum repent,0
win shopping spree every week starting play text store skilgme tscs winawk age perweeksub,1
turn friend staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,0
yes last practice,0
customer place call,0
hai dear friend new amp present number rajitha raj ranju,0
sound gd haha wah u yan jiu fast liao,0
free tone hope enjoyed new content text stop unsubscribe helpp provided tonesyoucouk,1
let pool money together buy bunch lotto ticket win get ltgt u get ltgt deal,0
change e one next escalator,0
uncle timi help clearing car,0
gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm,1
sen told going join uncle finance cbe,0
tired special,0
kkgoodstudy well,0
glad went well come well plenty time claire go work,0
time ur flight tmr,0
check nuerologist,0
came hostel,0
oh get paid outstanding one commercial hasbroin august made u jump many hoop get paid still,0
aight still want get money,0
mah b ill pick tomorrow,0
urgent please call landline complimentary lux costa del sol holiday cash await collection ppm sae tc james ehrr,1
thanks picking trash,0
sun cant come earth send luv ray cloud cant come river send luv rain cant come meet u send care msg u gud evng,0
nah cant help ive never iphone,0
yo around friend mine lookin pick later tonight,0
dear voucher holder claim st class airport lounge pass using holiday voucher call booking quote st class x,1
cant pick phone right pls send message,0
u win music gift voucher every week starting txt word draw tscs wwwidewcom skillgame winaweek age ppermesssubscription,1
sorry meeting ill call later,0
hey come online use msn,0
link picture sent also use httpaltocoukwavewaveaspo,1
hi chikku send nice msg,0
really hope work doesnt get stressful gr day,0
kkwhere youhow performed,0
ok way railway,0
finally happened aftr decade beer cheaper petrol goverment expects u drink dont drive,0
ripped get mobile content wwwclubmobycom call polytruepixringtonesgames six downloads,1
life alle moneeppolum oru pole allalo,0
send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ad p,1
he adult would learn experience there real danger dont like peep using drug dont need comment,0
jus chillaxin,0
call later afternoon onwords mtnl service get problem south mumbai hear cannt listen,0
mark work tomorrow get work house meet u afterwards,0
auction round highest bid next maximum bid bid send bid e g bid good luck,1
lol well quality aint bad aint complaining,0
emailed yifeng part oredi get fr,0
didt play one day last year know even though good team like india,0
dun believe u thk u told,0
pls come quick cant bare,0
gas station go,0
sorry brah finished last exam,0
pls accept one day begging change number,0
tried contact reply offer video handset anytime network min unlimited text camcorder reply call,1
asked call ok,0
dear voucher holder claim week offer pc please go httpwwwetlpcoukreward tscs apply,1
call u finish come n pick u,0
sorry ill call later,0
hard believe thing like say lie think twice saying anything,0
guess ltgt min,0
